,nr,nc,factor,acc_mean,acc_std,time_mean,time_std
0,4,4,1.0,1.0,0.0,0.0002035856246948242,0.00010138265868975213
1,4,4,0.1,0.95,0.15,0.00015239715576171876,5.759474412688464e-06
2,4,4,0.01,1.0,0.0,0.00015132427215576173,8.13147177656545e-06
3,4,4,0.001,0.9,0.2,0.00014302730560302734,2.1023720022912127e-05
4,4,4,0.0001,1.0,0.0,0.00010521411895751953,2.470941444032899e-06
5,4,4,1e-05,1.0,0.0,0.00010483264923095703,1.913448355410891e-06
6,4,4,1e-06,0.95,0.15,0.00010671615600585938,5.405533371574886e-06
7,4,4,1e-07,0.95,0.15,0.0001032114028930664,1.6115755668755708e-06
8,4,4,1e-08,0.925,0.225,0.00010356903076171874,1.6696111106883616e-06
9,4,4,1e-09,1.0,0.0,7.681846618652343e-05,1.8168309211039914e-05
10,4,4,1e-10,1.0,0.0,6.477832794189453e-05,8.860065544158003e-07
11,4,4,10000.0,1.0,0.0,6.451606750488282e-05,7.776978697919889e-07
12,4,4,100000000.0,1.0,0.0,6.496906280517578e-05,1.169223769687579e-06
13,4,16,1.0,1.0,0.0,7.147789001464844e-05,1.9970313636180804e-06
14,4,16,0.1,1.0,0.0,6.597042083740234e-05,3.2411776007596264e-06
15,4,16,0.01,1.0,0.0,6.504058837890625e-05,9.76061319849907e-07
16,4,16,0.001,1.0,0.0,6.651878356933594e-05,4.14738695412913e-06
17,4,16,0.0001,1.0,0.0,6.551742553710938e-05,2.8064611376880954e-06
18,4,16,1e-05,1.0,0.0,6.437301635742188e-05,6.03156597169567e-07
19,4,16,1e-06,1.0,0.0,6.558895111083985e-05,2.8138443121683096e-06
20,4,16,1e-07,1.0,0.0,6.573200225830078e-05,3.161272128418978e-06
21,4,16,1e-08,1.0,0.0,6.52313232421875e-05,6.843900725558913e-07
22,4,16,1e-09,0.95,0.15,6.568431854248047e-05,1.6492293935319198e-06
23,4,16,1e-10,1.0,0.0,6.625652313232421e-05,3.5578730930309107e-06
24,4,16,10000.0,1.0,0.0,6.535053253173829e-05,9.681673290370442e-07
25,4,16,100000000.0,1.0,0.0,6.489753723144531e-05,8.714517060516864e-07
26,4,64,1.0,1.0,0.0,7.152557373046875e-05,1.9251469839273785e-06
27,4,64,0.1,1.0,0.0,6.513595581054687e-05,1.6442241334501904e-06
28,4,64,0.01,1.0,0.0,6.577968597412109e-05,1.2409223251031022e-06
29,4,64,0.001,1.0,0.0,6.520748138427734e-05,6.679976332722616e-07
30,4,64,0.0001,1.0,0.0,6.537437438964843e-05,8.382032313941452e-07
31,4,64,1e-05,1.0,0.0,6.530284881591796e-05,1.0739427213244637e-06
32,4,64,1e-06,1.0,0.0,6.542205810546874e-05,6.050385256027947e-07
33,4,64,1e-07,1.0,0.0,6.501674652099609e-05,6.129722658244343e-07
34,4,64,1e-08,1.0,0.0,6.678104400634766e-05,2.7792898713511697e-06
35,4,64,1e-09,1.0,0.0,6.499290466308594e-05,9.368363716310739e-07
36,4,64,1e-10,1.0,0.0,6.52313232421875e-05,8.203816668551089e-07
37,4,64,10000.0,1.0,0.0,6.635189056396485e-05,3.7227669753093063e-06
38,4,64,100000000.0,1.0,0.0,6.535053253173829e-05,8.425997279678484e-07
39,4,128,1.0,1.0,0.0,7.143020629882813e-05,2.1621292207249896e-06
40,4,128,0.1,1.0,0.0,6.558895111083985e-05,7.344685459494287e-07
41,4,128,0.01,1.0,0.0,6.508827209472656e-05,9.172145872913049e-07
