,nr,nc,factor,acc_mean,acc_std,time_mean,time_std
0,4,4,1.0,1.0,0.0,0.002819061279296875,0.008243660386851715
1,4,4,0.1,1.0,0.0,5.9938430786132814e-05,3.822438015714852e-06
2,4,4,0.01,0.925,0.225,5.824565887451172e-05,9.83314067235054e-07
3,4,4,0.001,1.0,0.0,5.793571472167969e-05,1.3317337077874127e-06
4,4,4,0.0001,1.0,0.0,5.7649612426757815e-05,1.1815559094776026e-06
5,4,4,1e-05,1.0,0.0,5.8770179748535156e-05,3.04065487645514e-06
6,4,4,1e-06,1.0,0.0,5.7578086853027344e-05,1.24000583877047e-06
7,4,4,1e-07,1.0,0.0,5.788803100585938e-05,1.2333409458520473e-06
8,4,4,1e-08,1.0,0.0,5.7530403137207034e-05,7.543226251390636e-07
9,4,4,1e-09,1.0,0.0,5.7363510131835936e-05,5.859473098490003e-07
10,4,4,1e-10,1.0,0.0,5.738735198974609e-05,9.298324584960936e-07
11,4,4,10000.0,1.0,0.0,5.702972412109375e-05,6.726615896065656e-07
12,4,4,100000000.0,1.0,0.0,5.738735198974609e-05,1.0928312908521498e-06
13,4,16,1.0,1.0,0.0,6.468296051025391e-05,3.7456006472975768e-06
14,4,16,0.1,1.0,0.0,5.83648681640625e-05,2.8426854249551546e-06
15,4,16,0.01,1.0,0.0,5.729198455810547e-05,7.838860618006513e-07
16,4,16,0.001,1.0,0.0,5.717277526855469e-05,7.747686771999321e-07
17,4,16,0.0001,1.0,0.0,5.829334259033203e-05,3.021902586118356e-06
18,4,16,1e-05,1.0,0.0,5.7315826416015626e-05,8.134232573142995e-07
19,4,16,1e-06,1.0,0.0,5.900859832763672e-05,5.806116564055719e-06
20,4,16,1e-07,1.0,0.0,5.788803100585938e-05,2.263846868604511e-06
21,4,16,1e-08,1.0,0.0,5.717277526855469e-05,1.0103998232086702e-06
22,4,16,1e-09,1.0,0.0,5.79833984375e-05,2.3717556219951415e-06
23,4,16,1e-10,1.0,0.0,5.8746337890625e-05,3.4106358990187964e-06
24,4,16,10000.0,1.0,0.0,5.7363510131835936e-05,6.675720214843751e-07
25,4,16,100000000.0,1.0,0.0,5.843639373779297e-05,3.3369233315501397e-06
26,4,64,1.0,1.0,0.0,6.418228149414062e-05,2.9506165512857404e-06
27,4,64,0.1,1.0,0.0,5.750656127929687e-05,6.726615896065656e-07
28,4,64,0.01,1.0,0.0,5.7744979858398435e-05,9.221591761500223e-07
29,4,64,0.001,1.0,0.0,5.7744979858398435e-05,1.425735129139524e-06
30,4,64,0.0001,1.0,0.0,5.79833984375e-05,2.699083652131063e-06
31,4,64,1e-05,1.0,0.0,5.7363510131835936e-05,7.088693975123647e-07
32,4,64,1e-06,1.0,0.0,5.714893341064453e-05,6.831430808016968e-07
33,4,64,1e-07,1.0,0.0,5.7363510131835936e-05,9.368363716310739e-07
34,4,64,1e-08,1.0,0.0,5.741119384765625e-05,5.201679284398897e-07
35,4,64,1e-09,1.0,0.0,5.693435668945313e-05,7.448434520632413e-07
36,4,64,1e-10,1.0,0.0,5.7363510131835936e-05,7.921813834112238e-07
37,4,64,10000.0,1.0,0.0,5.843639373779297e-05,2.13367978304199e-06
38,4,64,100000000.0,1.0,0.0,5.779266357421875e-05,1.6386833455504974e-06
39,4,128,1.0,1.0,0.0,6.344318389892579e-05,1.625623124478415e-06
40,4,128,0.1,1.0,0.0,5.805492401123047e-05,9.610960183499514e-07
41,4,128,0.01,1.0,0.0,5.745887756347656e-05,5.223489356090222e-07
42,4,128,0.001,1.0,0.0,5.7816505432128906e-05,8.546566166369877e-07
43,4,128,0.0001,1.0,0.0,5.750656127929687e-05,6.893554828072052e-07
44,4,128,1e-05,1.0,0.0,5.750656127929687e-05,8.971637593377485e-07
45,4,128,1e-06,1.0,0.0,5.9556961059570315e-05,5.6094779565115405e-06
46,4,128,1e-07,1.0,0.0,5.7196617126464845e-05,7.188231197205227e-07
47,4,128,1e-08,1.0,0.0,5.79833984375e-05,2.506912122363074e-06
48,4,128,1e-09,1.0,0.0,5.772113800048828e-05,8.011006172376367e-07
49,4,128,1e-10,1.0,0.0,5.7578086853027344e-05,1.001641823654175e-06
50,4,128,10000.0,1.0,0.0,5.7649612426757815e-05,4.623107774177865e-07
51,4,128,100000000.0,1.0,0.0,5.7816505432128906e-05,9.249288912425433e-07
52,16,4,1.0,1.0,0.0,9.624958038330078e-05,5.860705495472415e-05
53,16,4,0.1,1.0,0.0,7.040500640869141e-05,1.2252488286523435e-06
54,16,4,0.01,1.0,0.0,7.030963897705078e-05,1.1103755018420235e-06
55,16,4,0.001,1.0,0.0,7.05718994140625e-05,2.97020177886914e-06
56,16,4,0.0001,0.95,0.15,6.995201110839843e-05,9.841808052325389e-07
57,16,4,1e-05,1.0,0.0,7.147789001464844e-05,2.230966103609006e-06
58,16,4,1e-06,1.0,0.0,7.150173187255859e-05,3.2767595866370825e-06
59,16,4,1e-07,1.0,0.0,7.121562957763672e-05,3.863631740608413e-06
60,16,4,1e-08,1.0,0.0,7.004737854003907e-05,9.524814775199021e-07
61,16,4,1e-09,1.0,0.0,7.033348083496094e-05,9.172145872913049e-07
62,16,4,1e-10,1.0,0.0,7.750988006591797e-05,1.3149146691505542e-05
63,16,4,10000.0,1.0,0.0,7.5531005859375e-05,1.0224127031109868e-05
64,16,4,100000000.0,1.0,0.0,7.083415985107422e-05,2.6473052546597305e-06
65,16,16,1.0,1.0,0.0,6.482601165771484e-05,2.694129943847656e-06
66,16,16,0.1,1.0,0.0,5.812644958496094e-05,9.643434722975103e-07
67,16,16,0.01,1.0,0.0,5.8078765869140624e-05,8.203816668551089e-07
68,16,16,0.001,1.0,0.0,5.79833984375e-05,9.643434722975103e-07
69,16,16,0.0001,1.0,0.0,5.7768821716308596e-05,9.359257901377925e-07
70,16,16,1e-05,1.0,0.0,5.824565887451172e-05,8.66545765179932e-07
71,16,16,1e-06,1.0,0.0,5.793571472167969e-05,9.233911862867873e-07
72,16,16,1e-07,0.975,0.075,5.900859832763672e-05,2.6317998761663957e-06
73,16,16,1e-08,1.0,0.0,5.810260772705078e-05,9.539722930785444e-07
74,16,16,1e-09,1.0,0.0,5.779266357421875e-05,1.0403358568797793e-06
75,16,16,1e-10,1.0,0.0,5.8603286743164065e-05,8.844011779304221e-07
76,16,16,10000.0,1.0,0.0,5.8078765869140624e-05,1.0182455303222e-06
77,16,16,100000000.0,1.0,0.0,5.9676170349121096e-05,4.944010370573271e-06
78,16,64,1.0,1.0,0.0,6.382465362548828e-05,1.5959804507426798e-06
79,16,64,0.1,1.0,0.0,6.0439109802246094e-05,3.6521648697298158e-06
80,16,64,0.01,1.0,0.0,5.8579444885253904e-05,8.05346763327338e-07
81,16,64,0.001,1.0,0.0,6.0439109802246094e-05,6.336060650786548e-06
82,16,64,0.0001,1.0,0.0,5.9032440185546874e-05,2.9629204526721923e-06
83,16,64,1e-05,1.0,0.0,6.0391426086425784e-05,6.520693654978204e-06
