,nr,nc,shift,acc_mean,acc_std,time_mean,time_std
0,4,4,1.0,1.0,0.0,6.623268127441407e-05,1.3086031098974044e-05
1,4,4,100.0,1.0,0.0,6.058216094970703e-05,1.2224620574278135e-06
2,4,4,10000.0,1.0,0.0,6.036758422851562e-05,1.1070429579013727e-06
3,4,4,1000000.0,1.0,0.0,6.103515625e-05,1.3015121520954305e-06
4,4,4,100000000.0,1.0,0.0,6.070137023925781e-05,1.5605037853196692e-06
5,4,4,10000000000.0,1.0,0.0,6.084442138671875e-05,1.0103998232086702e-06
6,4,16,1.0,1.0,0.0,6.0510635375976565e-05,8.649042676552322e-07
7,4,16,100.0,1.0,0.0,6.46352767944336e-05,1.265930813117713e-05
8,4,16,10000.0,1.0,0.0,6.0725212097167966e-05,1.2344926324843997e-06
9,4,16,1000000.0,1.0,0.0,6.0439109802246094e-05,8.808590508418639e-07
10,4,16,100000000.0,1.0,0.0,6.175041198730469e-05,2.603024304190861e-06
11,4,16,10000000000.0,1.0,0.0,6.084442138671875e-05,1.2561740753478517e-06
12,4,64,1.0,1.0,0.0,6.165504455566407e-05,7.776978697919889e-07
13,4,64,100.0,1.0,0.0,6.14166259765625e-05,8.272815500687348e-07
14,4,64,10000.0,1.0,0.0,6.241798400878907e-05,2.6694364552075205e-06
15,4,64,1000000.0,1.0,0.0,6.172657012939453e-05,8.756812893012504e-07
16,4,64,100000000.0,1.0,0.0,6.15835189819336e-05,1.0823783362213293e-06
17,4,64,10000000000.0,1.0,0.0,6.1011314392089845e-05,7.867813110351563e-07
18,4,128,1.0,1.0,0.0,6.167888641357422e-05,1.1682510375976561e-06
19,4,128,100.0,1.0,0.0,6.299018859863281e-05,3.510182256275128e-06
20,4,128,10000.0,1.0,0.0,6.136894226074218e-05,9.60800250988478e-07
21,4,128,1000000.0,1.0,0.0,6.170272827148438e-05,1.0651735259861314e-06
22,4,128,100000000.0,1.0,0.0,6.172657012939453e-05,8.69165713003072e-07
23,4,128,10000000000.0,1.0,0.0,6.172657012939453e-05,1.047143519210708e-06
24,16,4,1.0,1.0,0.0,7.531642913818359e-05,6.007438572348319e-06
25,16,4,100.0,1.0,0.0,7.364749908447265e-05,1.1555310073902735e-06
26,16,4,10000.0,1.0,0.0,7.395744323730468e-05,3.3135894113715533e-06
27,16,4,1000000.0,1.0,0.0,7.295608520507812e-05,1.0227017683757409e-06
28,16,4,100000000.0,1.0,0.0,7.309913635253907e-05,1.0673060076522537e-06
29,16,4,10000000000.0,1.0,0.0,7.290840148925782e-05,1.2147654726845738e-06
30,16,16,1.0,1.0,0.0,6.189346313476563e-05,1.2579828222535055e-06
31,16,16,100.0,1.0,0.0,6.115436553955078e-05,9.728529817153533e-07
32,16,16,10000.0,1.0,0.0,6.115436553955078e-05,1.0296260300488082e-06
33,16,16,1000000.0,1.0,0.0,6.229877471923828e-05,2.815056131480373e-06
34,16,16,100000000.0,1.0,0.0,6.14166259765625e-05,9.307490013095442e-07
35,16,16,10000000000.0,1.0,0.0,6.184577941894531e-05,1.6177363828360912e-06
36,16,64,1.0,1.0,0.0,6.229877471923828e-05,3.073750908719654e-06
37,16,64,100.0,1.0,0.0,6.215572357177734e-05,2.205983927564699e-06
38,16,64,10000.0,1.0,0.0,6.129741668701172e-05,7.939732458756786e-07
39,16,64,1000000.0,1.0,0.0,6.160736083984374e-05,1.4193416658532349e-06
40,16,64,100000000.0,1.0,0.0,6.1798095703125e-05,9.876401508907308e-07
41,16,64,10000000000.0,1.0,0.0,6.186962127685547e-05,1.1740753414387827e-06
42,16,128,1.0,1.0,0.0,6.232261657714843e-05,1.2025375569265833e-06
43,16,128,100.0,1.0,0.0,6.303787231445312e-05,2.0487357195797763e-06
44,16,128,10000.0,1.0,0.0,6.227493286132812e-05,1.0810646103624948e-06
45,16,128,1000000.0,1.0,0.0,6.198883056640625e-05,1.1284026685904724e-06
46,16,128,100000000.0,1.0,0.0,6.365776062011719e-05,2.6441899553321404e-06
47,16,128,10000000000.0,1.0,0.0,6.246566772460938e-05,1.0608957033771034e-06
48,64,4,1.0,1.0,0.0,7.524490356445313e-05,5.13702139103406e-06
49,64,4,100.0,1.0,0.0,7.321834564208985e-05,1.5467835982616988e-06
50,64,4,10000.0,1.0,0.0,7.30276107788086e-05,1.541630092652055e-06
51,64,4,1000000.0,1.0,0.0,7.479190826416015e-05,2.9510981352141436e-06
52,64,4,100000000.0,1.0,0.0,7.343292236328125e-05,9.713911432010347e-07
53,64,4,10000000000.0,1.0,0.0,7.317066192626953e-05,1.3379085394476125e-06
54,64,16,1.0,1.0,0.0,7.36236572265625e-05,1.1718946196980007e-06
55,64,16,100.0,1.0,0.0,7.474422454833984e-05,2.4506136379781224e-06
56,64,16,10000.0,1.0,0.0,7.433891296386719e-05,1.1523290608973094e-06
57,64,16,1000000.0,1.0,0.0,7.395744323730468e-05,1.0598235497900422e-06
58,64,16,100000000.0,1.0,0.0,7.450580596923828e-05,1.3993769255475225e-06
59,64,16,10000000000.0,1.0,0.0,7.410049438476563e-05,1.651123971288756e-06
60,64,64,1.0,1.0,0.0,6.6375732421875e-05,1.1882720751168356e-06
61,64,64,100.0,1.0,0.0,6.635189056396485e-05,1.2112508579140221e-06
62,64,64,10000.0,1.0,0.0,6.651878356933594e-05,1.5266237824995157e-06
63,64,64,1000000.0,1.0,0.0,6.611347198486328e-05,1.248229991217463e-06
64,64,64,100000000.0,1.0,0.0,6.53982162475586e-05,2.4640303505685364e-06
65,64,64,10000000000.0,1.0,0.0,6.475448608398438e-05,1.2936267820597206e-06
