,nr,nc,factor,acc_mean,acc_std,time_mean,time_std
0,4,4,1.0,1.0,0.0,0.0036398649215698244,0.010662033079596915
1,4,4,0.1,1.0,0.0,8.12530517578125e-05,2.8306621703445112e-06
2,4,4,0.01,1.0,0.0,8.022785186767578e-05,1.3871372421063287e-06
3,4,4,0.001,1.0,0.0,8.037090301513672e-05,1.0525579478570992e-06
4,4,4,0.0001,1.0,0.0,8.420944213867187e-05,9.522307915101597e-06
5,4,4,1e-05,1.0,0.0,8.041858673095703e-05,8.92399180994649e-07
6,4,4,1e-06,1.0,0.0,8.14199447631836e-05,2.5595319931011066e-06
7,4,4,1e-07,1.0,0.0,7.963180541992188e-05,1.2971373089538043e-06
8,4,4,1e-08,1.0,0.0,7.998943328857422e-05,1.8133923406416338e-06
9,4,16,1.0,1.0,0.0,8.013248443603516e-05,1.2317267754640091e-06
10,4,16,0.1,1.0,0.0,7.941722869873047e-05,1.2591119696150677e-06
11,4,16,0.01,1.0,0.0,8.099079132080078e-05,2.7143093999301784e-06
12,4,16,0.001,1.0,0.0,7.996559143066406e-05,1.3453231792131312e-06
13,4,16,0.0001,1.0,0.0,8.029937744140625e-05,1.3136842073398506e-06
14,4,16,1e-05,1.0,0.0,7.967948913574218e-05,8.382032313941452e-07
15,4,16,1e-06,1.0,0.0,0.00026361942291259767,0.0005396184121219833
16,4,16,1e-07,1.0,0.0,8.144378662109376e-05,3.5987782028414168e-06
17,4,16,1e-08,1.0,0.0,7.939338684082031e-05,9.416779355111837e-07
18,4,64,1.0,1.0,0.0,8.03232192993164e-05,1.2636184692382812e-06
19,4,64,0.1,1.0,0.0,7.984638214111328e-05,9.0127268654994e-07
20,4,64,0.01,1.0,0.0,7.965564727783204e-05,8.55985787916958e-07
21,4,64,0.001,1.0,0.0,7.991790771484375e-05,7.893059424041198e-07
22,4,64,0.0001,1.0,0.0,8.084774017333985e-05,2.0355138910762303e-06
23,4,64,1e-05,1.0,0.0,8.0108642578125e-05,8.596304119739507e-07
24,4,64,1e-06,1.0,0.0,8.144378662109376e-05,2.4919018994243466e-06
25,4,64,1e-07,1.0,0.0,8.07046890258789e-05,1.1246181883879427e-06
26,4,64,1e-08,1.0,0.0,8.094310760498047e-05,1.1496127558938211e-06
27,4,128,1.0,1.0,0.0,8.056163787841796e-05,1.2271031601388712e-06
28,4,128,0.1,1.0,0.0,8.084774017333985e-05,8.55985787916958e-07
29,4,128,0.01,1.0,0.0,8.063316345214843e-05,1.5663211541802258e-06
30,4,128,0.001,1.0,0.0,8.039474487304687e-05,1.1523290608973094e-06
31,4,128,0.0001,1.0,0.0,8.127689361572265e-05,3.118547824372049e-06
32,4,128,1e-05,1.0,0.0,8.06570053100586e-05,1.1386827408084443e-06
33,4,128,1e-06,1.0,0.0,8.034706115722656e-05,1.0608957033771034e-06
34,4,128,1e-07,1.0,0.0,7.998943328857422e-05,9.310543150790517e-07
35,4,128,1e-08,1.0,0.0,8.137226104736328e-05,2.5390179465699404e-06
36,16,4,1.0,1.0,0.0,0.00011754035949707031,7.304905596155627e-05
37,16,4,0.1,1.0,0.0,9.32455062866211e-05,2.219854945946569e-06
38,16,4,0.01,1.0,0.0,9.510517120361328e-05,7.021376556188265e-06
39,16,4,0.001,1.0,0.0,9.253025054931641e-05,8.425997279678484e-07
40,16,4,0.0001,1.0,0.0,9.362697601318359e-05,3.436950810451688e-06
41,16,4,1e-05,1.0,0.0,9.372234344482422e-05,3.116724538537771e-06
42,16,4,1e-06,1.0,0.0,9.343624114990234e-05,3.7553007582852615e-06
43,16,4,1e-07,1.0,0.0,9.369850158691406e-05,1.904366068622194e-06
44,16,4,1e-08,1.0,0.0,9.281635284423828e-05,1.4267315197350674e-06
45,16,16,1.0,1.0,0.0,8.077621459960938e-05,1.5333113852323082e-06
46,16,16,0.1,1.0,0.0,8.089542388916016e-05,1.4267315197350674e-06
47,16,16,0.01,1.0,0.0,8.096694946289063e-05,1.1882720751168356e-06
48,16,16,0.001,1.0,0.0,8.094310760498047e-05,1.2027738814954221e-06
