,nr,nc,factor,acc_mean,acc_std,time_mean,time_std
0,4,4,1.0,1.0,0.0,0.002842402458190918,0.008319468491758162
1,4,4,0.1,0.95,0.15,6.251335144042968e-05,3.1948089599609376e-06
2,4,4,0.01,0.95,0.15,6.0939788818359374e-05,1.1394312997196692e-06
3,4,4,0.001,1.0,0.0,6.215572357177734e-05,2.786643043264599e-06
4,4,4,0.0001,0.95,0.15,6.0439109802246094e-05,1.1885112362494008e-06
5,4,4,1e-05,1.0,0.0,6.139278411865234e-05,9.728529817153533e-07
6,4,4,1e-06,1.0,0.0,6.16312026977539e-05,2.2998435001099934e-06
7,4,4,1e-07,0.95,0.15,6.148815155029296e-05,1.1356835712256007e-06
8,4,4,1e-08,0.95,0.15,6.1011314392089845e-05,1.0739427213244637e-06
9,4,4,1e-09,1.0,0.0,6.0677528381347656e-05,1.21218908490049e-06
10,4,4,1e-10,1.0,0.0,6.165504455566407e-05,2.8133392333984377e-06
11,4,4,10000.0,1.0,0.0,6.0272216796875e-05,1.3180041276059394e-06
12,4,4,100000000.0,1.0,0.0,6.0629844665527346e-05,1.0980204524678663e-06
13,4,16,1.0,1.0,0.0,6.916522979736329e-05,8.657877801029472e-06
14,4,16,0.1,1.0,0.0,6.084442138671875e-05,1.224088444995254e-06
15,4,16,0.01,1.0,0.0,6.079673767089844e-05,1.2794883599280108e-06
16,4,16,0.001,1.0,0.0,6.0558319091796875e-05,1.2971373089538043e-06
17,4,16,0.0001,1.0,0.0,6.182193756103516e-05,2.8069674540857433e-06
18,4,16,1e-05,0.95,0.15,6.422996520996093e-05,8.855701801501965e-06
19,4,16,1e-06,1.0,0.0,6.139278411865234e-05,1.040609018459091e-06
20,4,16,1e-07,1.0,0.0,6.206035614013672e-05,3.948041778631803e-06
21,4,16,1e-08,1.0,0.0,6.096363067626953e-05,1.1682510375976561e-06
22,4,16,1e-09,1.0,0.0,6.0892105102539064e-05,1.1444091796875e-06
23,4,16,1e-10,1.0,0.0,6.046295166015625e-05,9.95665217295699e-07
24,4,16,10000.0,1.0,0.0,6.15835189819336e-05,3.0402809641472265e-06
25,4,16,100000000.0,1.0,0.0,6.098747253417969e-05,1.7707295062663215e-06
26,4,64,1.0,1.0,0.0,6.59942626953125e-05,1.499575156547202e-06
27,4,64,0.1,1.0,0.0,6.091594696044922e-05,1.1594597259319141e-06
28,4,64,0.01,1.0,0.0,6.0391426086425784e-05,1.0718234440321455e-06
29,4,64,0.001,1.0,0.0,6.127357482910156e-05,1.4384368065832478e-06
30,4,64,0.0001,1.0,0.0,6.034374237060547e-05,1.1456502701505626e-06
31,4,64,1e-05,1.0,0.0,6.0486793518066404e-05,1.1386827408084443e-06
32,4,64,1e-06,1.0,0.0,6.041526794433594e-05,9.78388048586044e-07
33,4,64,1e-07,1.0,0.0,6.06536865234375e-05,1.3869323322533596e-06
34,4,64,1e-08,1.0,0.0,6.0629844665527346e-05,1.0928312908521498e-06
35,4,64,1e-09,1.0,0.0,6.949901580810547e-05,2.6059979585271906e-05
36,4,64,1e-10,1.0,0.0,6.070137023925781e-05,1.2848085007960777e-06
37,4,64,10000.0,1.0,0.0,6.0272216796875e-05,1.0436090768928188e-06
38,4,64,100000000.0,1.0,0.0,6.0510635375976565e-05,1.0326579965452059e-06
39,4,128,1.0,1.0,0.0,6.766319274902344e-05,2.005552372437772e-06
40,4,128,0.1,1.0,0.0,6.37054443359375e-05,5.760461283107915e-06
41,4,128,0.01,1.0,0.0,6.258487701416016e-05,2.697925088864861e-06
42,4,128,0.001,1.0,0.0,6.213188171386719e-05,2.9417413359045374e-06
43,4,128,0.0001,1.0,0.0,6.120204925537109e-05,1.6312082751366925e-06
44,4,128,1e-05,1.0,0.0,6.127357482910156e-05,1.0768499174724783e-06
45,4,128,1e-06,1.0,0.0,6.0725212097167966e-05,7.911043178099182e-07
46,4,128,1e-07,1.0,0.0,6.330013275146484e-05,6.345025721631653e-06
47,4,128,1e-08,1.0,0.0,6.198883056640625e-05,3.012010898085357e-06
48,4,128,1e-09,1.0,0.0,6.082057952880859e-05,1.0686366477496609e-06
49,4,128,1e-10,1.0,0.0,6.134510040283203e-05,1.0980204524678663e-06
50,4,128,10000.0,1.0,0.0,6.134510040283203e-05,8.860065544158003e-07
51,4,128,100000000.0,1.0,0.0,6.196498870849609e-05,2.2854631388669665e-06
52,16,4,1.0,1.0,0.0,0.00010573863983154297,7.465306035370283e-05
53,16,4,0.1,1.0,0.0,7.328987121582031e-05,1.328314616888439e-06
54,16,4,0.01,1.0,0.0,7.281303405761718e-05,1.328314616888439e-06
55,16,4,0.001,1.0,0.0,7.388591766357421e-05,2.219854945946569e-06
56,16,4,0.0001,1.0,0.0,7.336139678955078e-05,1.3060899662782991e-06
57,16,4,1e-05,1.0,0.0,7.22646713256836e-05,1.194236734997577e-06
58,16,4,1e-06,1.0,0.0,7.386207580566407e-05,3.3831924009450453e-06
59,16,4,1e-07,1.0,0.0,7.216930389404297e-05,9.948084852707415e-07
60,16,4,1e-08,0.95,0.15,7.288455963134765e-05,1.4346777327852615e-06
61,16,4,1e-09,1.0,0.0,7.4005126953125e-05,6.10295680587335e-06
62,16,4,1e-10,1.0,0.0,7.288455963134765e-05,1.2390886745630534e-06
63,16,4,10000.0,1.0,0.0,7.274150848388672e-05,1.0084288588789272e-06
64,16,4,100000000.0,1.0,0.0,7.243156433105469e-05,1.1273947160279168e-06
65,16,16,1.0,1.0,0.0,6.787776947021484e-05,3.6456219995832704e-06
66,16,16,0.1,1.0,0.0,6.284713745117188e-05,3.1435107658099194e-06
67,16,16,0.01,1.0,0.0,6.170272827148438e-05,1.4689370918988576e-06
68,16,16,0.001,0.9875,0.0375,6.31570816040039e-05,6.115285507180919e-06
69,16,16,0.0001,1.0,0.0,6.148815155029296e-05,1.2271031601388712e-06
70,16,16,1e-05,1.0,0.0,6.122589111328125e-05,9.344061823971473e-07
71,16,16,1e-06,1.0,0.0,6.246566772460938e-05,2.603024304190861e-06
72,16,16,1e-07,0.96875,0.09375,6.129741668701172e-05,8.885691239158736e-07
73,16,16,1e-08,1.0,0.0,6.189346313476563e-05,1.253456061181537e-06
74,16,16,1e-09,1.0,0.0,6.144046783447265e-05,1.2797104740447656e-06
75,16,16,1e-10,1.0,0.0,6.139278411865234e-05,1.1195523149370095e-06
76,16,16,10000.0,1.0,0.0,6.14166259765625e-05,1.5822086356198364e-06
77,16,16,100000000.0,1.0,0.0,6.129741668701172e-05,1.0362297922182431e-06
78,16,64,1.0,1.0,0.0,6.818771362304688e-05,2.0702641817181026e-06
79,16,64,0.1,1.0,0.0,6.175041198730469e-05,1.4965395761943068e-06
80,16,64,0.01,1.0,0.0,6.16312026977539e-05,1.353957258653706e-06
81,16,64,0.001,1.0,0.0,6.1798095703125e-05,1.269676871842799e-06
82,16,64,0.0001,1.0,0.0,6.144046783447265e-05,6.831430808016968e-07
83,16,64,1e-05,1.0,0.0,6.160736083984374e-05,1.3828277587890625e-06
84,16,64,1e-06,1.0,0.0,6.139278411865234e-05,1.4315045406606746e-06
85,16,64,1e-07,0.9875,0.0375,6.191730499267578e-05,1.2707956286655834e-06
86,16,64,1e-08,1.0,0.0,6.34908676147461e-05,5.428461731617115e-06
87,16,64,1e-09,1.0,0.0,6.153583526611329e-05,1.2271031601388712e-06
88,16,64,1e-10,1.0,0.0,6.263256072998047e-05,2.7517470498663632e-06
89,16,64,10000.0,1.0,0.0,6.227493286132812e-05,1.9625774028069188e-06
90,16,64,100000000.0,1.0,0.0,6.198883056640625e-05,1.1029275423260094e-06
91,16,128,1.0,1.0,0.0,6.895065307617187e-05,3.2704216383900163e-06
92,16,128,0.1,1.0,0.0,6.248950958251954e-05,1.88169512962109e-06
93,16,128,0.01,1.0,0.0,6.213188171386719e-05,1.2980134571853828e-06
94,16,128,0.001,1.0,0.0,6.418228149414062e-05,5.316039326494803e-06
95,16,128,0.0001,1.0,0.0,6.277561187744141e-05,1.2065487793807979e-06
96,16,128,1e-05,1.0,0.0,6.282329559326172e-05,1.1346820864001076e-06
97,16,128,1e-06,1.0,0.0,6.263256072998047e-05,1.2390886745630534e-06
98,16,128,1e-07,1.0,0.0,6.244182586669921e-05,2.630071413701865e-06
99,16,128,1e-08,1.0,0.0,6.334781646728515e-05,3.786354271708392e-06
100,16,128,1e-09,1.0,0.0,6.196498870849609e-05,1.2363330996002362e-06
101,16,128,1e-10,1.0,0.0,6.268024444580078e-05,3.233100105829386e-06
102,16,128,10000.0,1.0,0.0,6.184577941894531e-05,8.805363327321714e-07
103,16,128,100000000.0,1.0,0.0,6.270408630371094e-05,2.728825364651584e-06
104,64,4,1.0,1.0,0.0,8.282661437988281e-05,9.809526654448227e-06
105,64,4,0.1,1.0,0.0,7.488727569580079e-05,3.3009566736672397e-06
106,64,4,0.01,1.0,0.0,7.293224334716796e-05,1.2991078115296629e-06
107,64,4,0.001,1.0,0.0,7.321834564208985e-05,1.2814860010506332e-06
108,64,4,0.0001,1.0,0.0,7.293224334716796e-05,8.425997279678484e-07
109,64,4,1e-05,1.0,0.0,7.274150848388672e-05,9.503904069898007e-07
110,64,4,1e-06,1.0,0.0,7.276535034179687e-05,1.2287234045720219e-06
111,64,4,1e-07,1.0,0.0,7.410049438476563e-05,4.227209144705713e-06
112,64,4,1e-08,1.0,0.0,7.326602935791016e-05,1.3060899662782991e-06
113,64,4,1e-09,1.0,0.0,7.350444793701172e-05,2.70801947320045e-06
114,64,4,1e-10,1.0,0.0,7.314682006835938e-05,1.4881598028495057e-06
115,64,4,10000.0,1.0,0.0,7.388591766357421e-05,3.452462382260353e-06
116,64,4,100000000.0,1.0,0.0,7.288455963134765e-05,1.229879415181058e-06
117,64,16,1.0,1.0,0.0,8.041858673095703e-05,2.0316005127690016e-06
118,64,16,0.1,1.0,0.0,7.419586181640625e-05,1.3811825139961472e-06
119,64,16,0.01,1.0,0.0,7.336139678955078e-05,1.148623415989485e-06
120,64,16,0.001,1.0,0.0,7.340908050537109e-05,9.91374153437223e-07
121,64,16,0.0001,1.0,0.0,7.376670837402343e-05,1.1394312997196692e-06
122,64,16,1e-05,1.0,0.0,7.486343383789062e-05,2.29675189567419e-06
123,64,16,1e-06,1.0,0.0,7.371902465820312e-05,1.2830375716279706e-06
124,64,16,1e-07,1.0,0.0,7.412433624267578e-05,1.047143519210708e-06
125,64,16,1e-08,1.0,0.0,7.464885711669922e-05,2.877762619437385e-06
126,64,16,1e-09,1.0,0.0,7.348060607910156e-05,1.1523290608973094e-06
127,64,16,1e-10,1.0,0.0,7.350444793701172e-05,8.533253749930038e-07
128,64,16,10000.0,1.0,0.0,7.367134094238281e-05,1.275037952148527e-06
129,64,16,100000000.0,1.0,0.0,7.510185241699219e-05,4.0573210499158185e-06
130,64,64,1.0,1.0,0.0,7.30276107788086e-05,3.978162420645688e-06
131,64,64,0.1,0.9890625,0.032812499999999994,6.69717788696289e-05,1.7824081126752535e-06
132,64,64,0.01,1.0,0.0,6.632804870605468e-05,1.186357050383065e-06
133,64,64,0.001,1.0,0.0,6.632804870605468e-05,2.2512572544313194e-06
134,64,64,0.0001,1.0,0.0,6.628036499023438e-05,1.1029275423260094e-06
135,64,64,1e-05,1.0,0.0,6.632804870605468e-05,1.2053703937305962e-06
136,64,64,1e-06,1.0,0.0,6.618499755859376e-05,1.0566005614357154e-06
137,64,64,1e-07,1.0,0.0,6.628036499023438e-05,1.5451289888400699e-06
138,64,64,1e-08,1.0,0.0,6.740093231201172e-05,3.030918164862783e-06
139,64,64,1e-09,1.0,0.0,6.687641143798828e-05,1.353957258653706e-06
