,nr,nc,shift,acc_mean,acc_std,time_mean,time_std
0,4,4,1.0,1.0,0.0,0.00015203952789306642,6.771432253302235e-05
1,4,4,100.0,1.0,0.0,0.00012834072113037108,4.501062420826953e-06
2,4,4,10000.0,1.0,0.0,0.00012903213500976564,8.588894880064734e-06
3,4,4,1000000.0,1.0,0.0,0.00012917518615722655,6.76016531065145e-06
4,4,4,100000000.0,1.0,0.0,0.00012834072113037108,5.365265673319616e-06
5,4,4,10000000000.0,1.0,0.0,0.00012705326080322265,2.2224141524062537e-06
6,4,16,1.0,1.0,0.0,0.00012717247009277343,2.8594330502633954e-06
7,4,16,100.0,1.0,0.0,0.00012731552124023438,2.4868783589182467e-06
8,4,16,10000.0,1.0,0.0,0.00012722015380859376,2.6056434807423116e-06
9,4,16,1000000.0,1.0,0.0,0.0001254558563232422,3.2547410863078157e-06
10,4,16,100000000.0,1.0,0.0,9.2315673828125e-05,2.7053943543442313e-06
11,4,16,10000000000.0,1.0,0.0,9.17673110961914e-05,1.4441554757030302e-06
12,4,64,1.0,1.0,0.0,9.417533874511719e-05,4.250275110385772e-06
13,4,64,100.0,1.0,0.0,9.157657623291016e-05,1.254589282696044e-06
14,4,64,10000.0,1.0,0.0,9.329319000244141e-05,5.201733923600208e-06
15,4,64,1000000.0,1.0,0.0,9.357929229736328e-05,5.01388093109443e-06
16,4,64,100000000.0,1.0,0.0,9.217262268066407e-05,1.8194946316088594e-06
17,4,64,10000000000.0,1.0,0.0,5.8531761169433594e-05,3.0998999916803117e-06
18,4,128,1.0,1.0,0.0,5.91278076171875e-05,2.7204803134147477e-06
19,4,128,100.0,1.0,0.0,5.841255187988281e-05,1.4423831426862883e-06
20,4,128,10000.0,1.0,0.0,5.7578086853027344e-05,7.251217997429632e-07
21,4,128,1000000.0,1.0,0.0,6.132125854492187e-05,7.814021167332832e-06
22,4,128,100000000.0,1.0,0.0,5.805492401123047e-05,8.546566166369877e-07
23,4,128,10000000000.0,1.0,0.0,5.784034729003906e-05,9.95665217295699e-07
24,16,4,1.0,1.0,0.0,7.355213165283203e-05,1.144123538450336e-05
25,16,4,100.0,1.0,0.0,7.052421569824219e-05,2.9274073559133203e-06
26,16,4,10000.0,1.0,0.0,7.004737854003907e-05,1.4137236671804044e-06
27,16,4,1000000.0,1.0,0.0,6.964206695556641e-05,1.3078296806242443e-06
28,16,4,100000000.0,1.0,0.0,6.957054138183594e-05,1.0967254638671874e-06
29,16,4,10000000000.0,1.0,0.0,6.973743438720703e-05,1.018524616398517e-06
30,16,16,1.0,1.0,0.0,5.793571472167969e-05,1.087356019114626e-06
31,16,16,100.0,1.0,0.0,5.767345428466797e-05,8.081651333178659e-07
32,16,16,10000.0,1.0,0.0,5.7816505432128906e-05,7.329190325231265e-07
33,16,16,1000000.0,1.0,0.0,5.741119384765625e-05,1.1815559094776026e-06
34,16,16,100000000.0,1.0,0.0,5.7220458984375e-05,8.792442757885826e-07
35,16,16,10000000000.0,1.0,0.0,5.733966827392578e-05,5.667144929888112e-07
36,16,64,1.0,1.0,0.0,5.9652328491210935e-05,3.31701856411718e-06
37,16,64,100.0,1.0,0.0,5.850791931152344e-05,1.3662861616033937e-06
38,16,64,10000.0,1.0,0.0,5.834102630615234e-05,1.1134428433261506e-06
39,16,64,1000000.0,1.0,0.0,5.8197975158691405e-05,1.1000892634448363e-06
40,16,64,100000000.0,1.0,0.0,5.958080291748047e-05,5.1999851843921405e-06
41,16,64,10000000000.0,1.0,0.0,5.793571472167969e-05,1.0925711858167266e-06
42,16,128,1.0,1.0,0.0,5.996227264404297e-05,3.762559430398972e-06
43,16,128,100.0,1.0,0.0,5.812644958496094e-05,1.0757936642340162e-06
44,16,128,10000.0,1.0,0.0,5.843639373779297e-05,1.1506012451184895e-06
45,16,128,1000000.0,1.0,0.0,5.924701690673828e-05,1.828998414422099e-06
46,16,128,100000000.0,1.0,0.0,5.9032440185546874e-05,1.088401051570256e-06
47,16,128,10000000000.0,1.0,0.0,5.888938903808594e-05,9.416779355111837e-07
48,64,4,1.0,1.0,0.0,7.183551788330078e-05,5.3450978245146e-06
49,64,4,100.0,1.0,0.0,7.157325744628906e-05,4.179879570162035e-06
50,64,4,10000.0,1.0,0.0,7.011890411376954e-05,1.2591119696150677e-06
51,64,4,1000000.0,1.0,0.0,7.05718994140625e-05,1.1728643299340098e-06
52,64,4,100000000.0,1.0,0.0,7.045269012451172e-05,9.786785007368943e-07
53,64,4,10000000000.0,1.0,0.0,7.011890411376954e-05,1.646469752370791e-06
54,64,16,1.0,1.0,0.0,7.01904296875e-05,9.307490013095443e-07
55,64,16,100.0,1.0,0.0,7.052421569824219e-05,9.28302876183118e-07
56,64,16,10000.0,1.0,0.0,7.162094116210937e-05,1.8163678126088056e-06
57,64,16,1000000.0,1.0,0.0,7.064342498779297e-05,1.0449698925405085e-06
58,64,16,100000000.0,1.0,0.0,7.073879241943359e-05,1.0229796387159792e-06
59,64,16,10000000000.0,1.0,0.0,7.059574127197266e-05,1.3756152855636268e-06
60,64,64,1.0,1.0,0.0,7.216930389404297e-05,2.348271718453166e-06
61,64,64,100.0,1.0,0.0,7.290840148925782e-05,3.632735625217611e-06
62,64,64,10000.0,1.0,0.0,7.190704345703126e-05,1.311085422980072e-06
63,64,64,1000000.0,1.0,0.0,7.126331329345703e-05,1.5095869177128534e-06
64,64,64,100000000.0,1.0,0.0,6.976127624511719e-05,1.439226939467103e-06
65,64,64,10000000000.0,1.0,0.0,6.966590881347656e-05,1.4650622840630736e-06
66,64,128,1.0,1.0,0.0,7.281303405761718e-05,2.1804548960063316e-06
67,64,128,100.0,1.0,0.0,7.32421875e-05,3.1859003235798007e-06
68,64,128,10000.0,1.0,0.0,7.166862487792969e-05,1.575006920329451e-06
69,64,128,1000000.0,1.0,0.0,7.07864761352539e-05,1.8543080668783914e-06
70,64,128,100000000.0,1.0,0.0,7.176399230957031e-05,1.2250168398537759e-06
71,64,128,10000000000.0,1.0,0.0,7.092952728271484e-05,1.486057476258032e-06
72,128,4,1.0,1.0,0.0,8.547306060791016e-05,9.698245357694142e-06
73,128,4,100.0,1.0,0.0,7.114410400390624e-05,2.8772687609759507e-06
74,128,4,10000.0,1.0,0.0,7.069110870361328e-05,1.341303174880524e-06
75,128,4,1000000.0,1.0,0.0,7.19308853149414e-05,3.7364839229418685e-06
76,128,4,100000000.0,1.0,0.0,7.030963897705078e-05,1.0027761862188858e-06
