batch_size,workers,tasks,mean,std
4,16,16,0.004288911819458008,0.008425152903870676
4,16,64,6.470680236816406e-05,9.006543868273083e-06
4,16,256,6.256103515625e-05,7.707376106451456e-06
4,16,1024,6.699562072753906e-05,5.358852042040367e-06
4,64,16,0.00012187957763671875,9.370771027951515e-05
4,64,64,6.837844848632813e-05,5.632736694658166e-06
4,64,256,6.75201416015625e-05,6.25256985212555e-06
4,64,1024,8.091926574707031e-05,8.662964580141901e-06
4,256,16,9.121894836425782e-05,2.997087498320686e-05
4,256,64,9.136199951171875e-05,1.5239703640318437e-05
4,256,256,0.00015015602111816405,3.5416323574442435e-05
4,256,1024,0.00014939308166503907,3.370621528947117e-05
4,1024,16,0.00010738372802734374,5.8056094061871066e-05
4,1024,64,0.00015454292297363282,0.00011227195443473899
4,1024,256,0.00016245841979980468,1.821031055987064e-05
4,1024,1024,0.00026726722717285156,8.178195163135231e-05
16,16,16,0.00011987686157226563,0.00012166109261952946
16,16,64,6.313323974609375e-05,9.359136430662325e-06
16,16,256,6.284713745117188e-05,6.580698308304216e-06
16,16,1024,7.295608520507812e-05,1.0514232306759225e-05
16,64,16,9.307861328125e-05,4.150581925204849e-05
16,64,64,7.061958312988281e-05,3.7162719284818103e-06
16,64,256,7.505416870117188e-05,1.2703392948699946e-05
16,64,1024,8.692741394042969e-05,8.631411153208345e-06
16,256,16,9.059906005859375e-05,3.447140213617478e-05
16,256,64,8.907318115234376e-05,7.449350255470286e-06
16,256,256,0.00016160011291503905,3.870273109267539e-05
16,256,1024,0.00017366409301757812,1.044980771920549e-05
16,1024,16,0.00011630058288574219,7.145900807748922e-05
16,1024,64,0.00011377334594726562,9.589526020417317e-06
16,1024,256,0.000296783447265625,0.00010344733505355628
16,1024,1024,0.0003090381622314453,5.854822478887967e-05
64,16,16,0.00011186599731445312,0.00010229189582761107
64,16,64,7.252693176269531e-05,1.1043079148825434e-05
64,16,256,6.656646728515625e-05,6.917262193980632e-06
64,16,1024,7.228851318359375e-05,6.422980591004462e-06
64,64,16,9.822845458984375e-05,4.613039091359137e-05
64,64,64,7.97271728515625e-05,7.481330359441829e-06
64,64,256,7.691383361816407e-05,6.458635652892595e-06
64,64,1024,0.00011343955993652344,1.5910506208727867e-05
64,256,16,0.000113677978515625,5.6646046772078824e-05
64,256,64,9.360313415527344e-05,6.133616252981366e-06
64,256,256,0.0001556873321533203,2.9988470469716714e-05
64,256,1024,0.00018172264099121095,1.2292229345364714e-05
64,1024,16,0.00012874603271484375,6.224085852636639e-05
64,1024,64,0.00013957023620605468,2.105040287320642e-05
64,1024,256,0.00028553009033203123,0.00012312777525146836
64,1024,1024,0.00028443336486816406,1.2385839447592912e-05
256,16,16,0.00010471343994140625,8.653594713296716e-05
256,16,64,6.737709045410157e-05,8.839640111612075e-06
256,16,256,6.9427490234375e-05,4.399840307015333e-06
256,16,1024,0.00015840530395507812,0.0001560750444902088
256,64,16,0.00010142326354980468,4.939089320427274e-05
256,64,64,8.220672607421875e-05,7.225931831174704e-06
256,64,256,8.978843688964844e-05,6.6374636235448135e-06
256,64,1024,0.0001288890838623047,1.4620794598950806e-05
256,256,16,0.00010762214660644531,5.708770451930486e-05
256,256,64,0.00012040138244628906,1.6329845270541375e-05
256,256,256,0.00016393661499023438,3.66310885817118e-05
256,256,1024,0.00018491744995117188,6.568594115342165e-06
256,1024,16,0.00013985633850097657,5.8561466122320636e-05
256,1024,64,0.0001617431640625,2.6318041959000294e-05
256,1024,256,0.00030217170715332033,0.00012514641862150142
256,1024,1024,0.00028076171875,3.521906467665554e-05
1024,16,16,0.00010480880737304688,8.783394816475797e-05
1024,16,64,6.532669067382812e-05,8.379319243045348e-06
1024,16,256,7.028579711914063e-05,5.8056759854219145e-06
1024,16,1024,9.298324584960938e-05,5.6319293074692325e-06
1024,64,16,9.899139404296875e-05,4.6660751431515614e-05
1024,64,64,8.592605590820312e-05,7.657060529327937e-06
1024,64,256,8.687973022460937e-05,7.90543663767706e-06
1024,64,1024,0.00012807846069335939,1.0904255583774794e-05
1024,256,16,0.00011105537414550782,5.603220094583748e-05
1024,256,64,0.00010933876037597657,9.897788732917618e-06
1024,256,256,0.00016307830810546875,2.762694253311143e-05
1024,256,1024,0.00018072128295898438,8.395584517316346e-06
1024,1024,16,0.00013093948364257814,6.293300354654976e-05
1024,1024,64,0.00017032623291015624,2.7771660906830364e-05
1024,1024,256,0.00031986236572265623,0.00016122403766234878
1024,1024,1024,0.00022368431091308595,3.4450750442125356e-05
